name	family	note
case_000	two_group_stagger_no_block	ratio=3, low_count=6, high_count=2
case_001	inverse_stagger_no_block	ratio=5, high_count=3, low_count=18
case_002	sleepy_reactivation	steady_w=1, sleeper_w=5
case_003	device_wakeup	io_parallel=4
case_004	many_group_microburst	groups=4
case_005	parallelism_mismatch	ratio=4, high_count=2, low_count=30
case_006	phase_churn	t1=1040, t2=2490
case_007	topology_churn	workers=12
case_008	late_heavyweight	ratio=12, delay=1900
case_009	cyclic_reactivation	light_w=6, heavy_w=1, cycles=7
case_010	window_decay_race	ratio=7, phase2_delay=500
case_011	weight_transition	workers=12
case_012	asymmetric_blocking	ratio=3
case_013	bursty_reactivation_storm	workers=8
case_014	two_group_stagger_no_block	ratio=5, low_count=48, high_count=6
case_015	inverse_stagger_no_block	ratio=4, high_count=5, low_count=50
case_016	sleepy_reactivation	steady_w=1, sleeper_w=3
case_017	device_wakeup	io_parallel=3
case_018	many_group_microburst	groups=3
case_019	parallelism_mismatch	ratio=15, high_count=4, low_count=100
case_020	phase_churn	t1=480, t2=1930
case_021	topology_churn	workers=10
case_022	late_heavyweight	ratio=10, delay=700
case_023	cyclic_reactivation	light_w=4, heavy_w=1, cycles=6
case_024	window_decay_race	ratio=3, phase2_delay=200
case_025	weight_transition	workers=8
case_026	asymmetric_blocking	ratio=7
case_027	bursty_reactivation_storm	workers=12
case_028	two_group_stagger_no_block	ratio=8, low_count=30, high_count=5
case_029	inverse_stagger_no_block	ratio=12, high_count=3, low_count=18
case_030	sleepy_reactivation	steady_w=1, sleeper_w=6
case_031	device_wakeup	io_parallel=2
case_032	many_group_microburst	groups=5
case_033	parallelism_mismatch	ratio=10, high_count=2, low_count=30
case_034	phase_churn	t1=1180, t2=2630
case_035	topology_churn	workers=8
case_036	late_heavyweight	ratio=8, delay=1500
case_037	cyclic_reactivation	light_w=1, heavy_w=8, cycles=5
case_038	window_decay_race	ratio=7, phase2_delay=1100
case_039	weight_transition	workers=12
case_040	asymmetric_blocking	ratio=3
case_041	bursty_reactivation_storm	workers=8
case_042	two_group_stagger_no_block	ratio=3, low_count=20, high_count=4
case_043	inverse_stagger_no_block	ratio=9, high_count=5, low_count=50
case_044	sleepy_reactivation	steady_w=3, sleeper_w=1
case_045	device_wakeup	io_parallel=1
case_046	many_group_microburst	groups=4
case_047	parallelism_mismatch	ratio=8, high_count=4, low_count=100
case_048	phase_churn	t1=620, t2=2070
case_049	topology_churn	workers=20
case_050	late_heavyweight	ratio=6, delay=300
case_051	cyclic_reactivation	light_w=1, heavy_w=6, cycles=4
case_052	window_decay_race	ratio=3, phase2_delay=800
