name	family	score	student_quality	baseline_quality	max_share_skew	share_balance_ratio	worst_group	worst_group_severity	note
case_046	phase_churn	0.825300	0.280437	0.339799	3.565868	5.598225	join_d	3.396226	t1=700, t2=1180
case_023	topology_churn	0.878502	0.591321	0.673101	1.691129	1.534505	local_pressure	1.296947	workers=16
case_042	sleepy_reactivation	0.898227	0.645601	0.718750	1.548945	1.577597	sleeper	1.465804	steady_w=3, sleeper_w=1
case_006	phase_churn	0.907065	0.265530	0.292735	3.766057	4.376077	join_d	2.951221	t1=920, t2=1400
case_017	inverse_stagger_no_block	0.922831	0.492305	0.533473	2.031259	1.357044	high_anchor	1.201272	ratio=5, high_count=5, low_count=40
case_002	sleepy_reactivation	0.938568	0.659584	0.702756	1.516107	1.301287	sleeper	1.190886	steady_w=3, sleeper_w=1
case_058	sleepy_reactivation	0.942025	0.495501	0.525996	2.018159	1.501853	sleeper	1.228115	steady_w=4, sleeper_w=1
case_047	topology_churn	0.975331	0.675111	0.692187	1.481238	1.735627	local_pressure	1.364621	workers=16
case_031	topology_churn	0.978002	0.747085	0.763889	1.338536	1.565464	local_pressure	1.413150	workers=16
case_015	topology_churn	0.981055	0.821348	0.837209	1.217510	1.283012	local_pressure	1.218002	workers=16
case_039	topology_churn	0.981634	0.589959	0.600997	1.695033	1.724029	local_pressure	1.373114	workers=16
case_055	topology_churn	0.982270	0.812087	0.826745	1.231395	1.320581	local_pressure	1.226109	workers=16
case_003	device_wakeup	0.985735	0.380173	0.385675	2.630380	5.227323	cpu_anchor	3.276251	io_parallel=4
case_053	parallelism_mismatch	0.997712	0.341270	0.342052	2.930233	1.779095	scarce_heavy	1.500715	ratio=6, high_count=3, low_count=60
case_001	inverse_stagger_no_block	1.000000	1.000000	1.000000	1.000000	1.447382	high_anchor	1.259549	ratio=5, high_count=4, low_count=24
case_007	topology_churn	1.000000	1.000000	1.000000	1.000000	1.720031	local_pressure	1.572333	workers=16
case_025	inverse_stagger_no_block	1.000000	1.000000	1.000000	1.000000	1.302925	high_anchor	1.169223	ratio=5, high_count=4, low_count=24
case_020	many_group_microburst	1.000044	0.297709	0.297696	3.358982	4.163497	g0	2.750237	groups=5
case_022	phase_churn	1.017838	0.367195	0.360760	2.723347	4.336504	join_d	2.179940	t1=370, t2=1010
case_052	many_group_microburst	1.029189	0.487256	0.473437	2.052310	2.527900	g2	1.638574	groups=4
case_044	many_group_microburst	1.051146	0.383948	0.365266	2.604519	3.784466	g3	2.801523	groups=5
case_030	phase_churn	1.061908	0.396104	0.373011	2.524590	6.602870	join_d	3.498528	t1=480, t2=800
case_013	parallelism_mismatch	1.087706	0.199829	0.183716	5.004277	13.572774	abundant_light	5.012587	ratio=6, high_count=2, low_count=32
case_038	phase_churn	1.091230	0.427003	0.391304	2.341903	2.979653	join_d	2.038626	t1=590, t2=1390
