name	family	score	student_quality	baseline_quality	max_share_skew	share_balance_ratio	worst_group	worst_group_severity	note
case_089	inverse_stagger_no_block	0.704820	0.432398	0.613487	2.312684	1.342632	low_wave	1.162680	ratio=5, high_count=5, low_count=40
case_126	phase_churn	0.735544	0.210459	0.286127	4.751515	3.269917	join_d	2.116449	t1=260, t2=740
case_166	phase_churn	0.784544	0.274102	0.349377	3.648277	4.172773	join_d	2.545583	t1=810, t2=1290
case_122	sleepy_reactivation	0.820556	0.582386	0.709746	1.717073	1.469936	sleeper	1.323579	steady_w=3, sleeper_w=1
case_046	phase_churn	0.825300	0.280437	0.339799	3.565868	5.598225	join_d	3.396226	t1=700, t2=1180
case_110	phase_churn	0.828888	0.500755	0.604129	1.996983	3.165348	join_d	1.996983	t1=810, t2=1130
case_150	phase_churn	0.862799	0.279870	0.324374	3.573093	7.636847	join_d	3.858933	t1=590, t2=910
case_082	sleepy_reactivation	0.870237	0.535807	0.615702	1.866343	1.381981	sleeper	1.205399	steady_w=3, sleeper_w=1
case_111	topology_churn	0.875948	0.671970	0.767135	1.488161	1.699224	local_pressure	1.403900	workers=16
case_023	topology_churn	0.878502	0.591321	0.673101	1.691129	1.534505	local_pressure	1.296947	workers=16
case_042	sleepy_reactivation	0.898227	0.645601	0.718750	1.548945	1.577597	sleeper	1.465804	steady_w=3, sleeper_w=1
case_006	phase_churn	0.907065	0.265530	0.292735	3.766057	4.376077	join_d	2.951221	t1=920, t2=1400
case_017	inverse_stagger_no_block	0.922831	0.492305	0.533473	2.031259	1.357044	high_anchor	1.201272	ratio=5, high_count=5, low_count=40
case_002	sleepy_reactivation	0.938568	0.659584	0.702756	1.516107	1.301287	sleeper	1.190886	steady_w=3, sleeper_w=1
case_058	sleepy_reactivation	0.942025	0.495501	0.525996	2.018159	1.501853	sleeper	1.228115	steady_w=4, sleeper_w=1
case_178	sleepy_reactivation	0.945488	0.601060	0.635714	1.663727	1.420917	sleeper	1.214151	steady_w=4, sleeper_w=1
case_095	topology_churn	0.947081	0.725732	0.766283	1.377919	1.462511	local_pressure	1.288239	workers=16
case_044	many_group_microburst	0.959331	0.350411	0.365266	2.853790	3.833713	g3	2.872927	groups=5
