name	family	score	student_quality	baseline_quality	max_share_skew	share_balance_ratio	worst_group	worst_group_severity	note
case_081	weight_transition	0.536913	0.536913	1.000000	1.862500	3.047979	heavy_exit	1.862499	workers=8
case_231	topology_churn	0.645181	0.441220	0.683871	2.266442	2.537406	remote_heavy	1.722030	workers=10
case_077	topology_churn	0.649505	0.324752	0.500000	3.079268	2.677148	local_pressure	1.944872	workers=12
case_132	phase_churn	0.671825	0.359128	0.534557	2.784520	8.053671	join_d	5.720993	t1=1040, t2=2490
case_100	sleepy_reactivation	0.679130	0.442647	0.651786	2.259136	1.461377	sleeper	1.246040	steady_w=3, sleeper_w=1
case_140	two_group_stagger_no_block	0.693167	0.314834	0.454196	3.176278	6.683384	high_stagger	2.999085	ratio=5, low_count=6, high_count=2
case_295	inverse_stagger_no_block	0.693615	0.638643	0.920746	1.565819	1.190614	high_anchor	1.129672	ratio=4, high_count=5, low_count=50
case_275	cyclic_reactivation	0.695369	0.413424	0.594539	2.418824	2.375728	heavy_cyclic	1.824691	light_w=1, heavy_w=4, cycles=3
case_287	topology_churn	0.739595	0.327597	0.442942	3.052527	3.196900	local_pressure	2.071659	workers=12
case_048	phase_churn	0.742492	0.453745	0.611111	2.203881	3.187846	join_c	2.324673	t1=620, t2=2070
case_236	asymmetric_blocking	0.742500	0.561892	0.756757	1.779703	1.445771	blocking	1.341094	ratio=3
case_004	many_group_microburst	0.748768	0.574171	0.766821	1.741640	1.404301	g3	1.201164	groups=4
case_188	phase_churn	0.785797	0.152979	0.194680	6.536842	12.725134	join_d	6.283759	t1=1320, t2=2770
case_147	topology_churn	0.866733	0.531097	0.612757	1.882897	2.200205	local_pressure	1.761923	workers=12
case_007	topology_churn	0.889662	0.770732	0.866319	1.297468	1.598967	local_pressure	1.317360	workers=12
case_006	phase_churn	0.900066	0.421553	0.468358	2.372180	4.739998	join_d	2.241180	t1=1040, t2=2490
case_160	phase_churn	0.906525	0.234524	0.258706	4.263959	2.137939	join_d	2.018349	t1=1180, t2=2630
case_161	topology_churn	0.913043	0.434783	0.476190	2.300000	3.442503	remote_heavy	2.095557	workers=10
case_021	topology_churn	0.915014	0.504224	0.551056	1.983244	1.570583	remote_heavy	1.281925	workers=10
case_049	topology_churn	0.921336	0.689099	0.747934	1.451171	1.718993	local_pressure	1.528069	workers=20
case_228	many_group_microburst	0.928111	0.719530	0.775263	1.389796	1.925887	g1	1.457633	groups=3
case_226	sleepy_reactivation	0.938410	0.302831	0.322707	3.302169	3.280276	steady	1.989496	steady_w=1, sleeper_w=5
case_126	two_group_stagger_no_block	0.941714	0.941714	1.000000	1.061893	2.525752	low_bulk	1.707854	ratio=3, low_count=12, high_count=3
case_074	many_group_microburst	0.944940	0.230585	0.244021	4.336795	7.966125	g1	3.166541	groups=5
case_125	bursty_reactivation_storm	0.950457	0.878828	0.924638	1.137879	1.357415	anchor	1.188287	workers=8
case_191	cyclic_reactivation	0.962921	0.685469	0.711864	1.458855	2.165232	heavy_cyclic	1.643078	light_w=1, heavy_w=6, cycles=4
case_105	topology_churn	0.966787	0.443044	0.458265	2.257110	4.573158	local_pressure	2.182295	workers=8
case_133	topology_churn	0.967259	0.808232	0.835590	1.237269	1.666500	local_pressure	1.322789	workers=16
case_203	topology_churn	0.976501	0.576337	0.590206	1.735096	2.597192	local_pressure	1.827561	workers=16
case_088	many_group_microburst	0.980618	0.750809	0.765649	1.331897	7.979040	g2	2.928301	groups=4
case_035	topology_churn	0.982143	0.396825	0.404040	2.520000	5.956254	remote_heavy	2.473503	workers=8
